Student_ID,Name,Gender,School,Attendance(%),Math_Score,Science_Score,Engineering_Score,Technology_Score,Overall_Average
S057,Student_57,Female,School_D,75,57,78,91,51,69.25
S058,Student_58,Female,School_B,82,43,41,60,89,58.25
S059,Student_59,Female,School_D,70,64,42,71,74,62.75
S060,Student_60,Male,School_D,71,99,88,62,99,87.0
S061,Student_61,Female,School_A,69,53,76,72,72,68.25
S062,Student_62,Female,School_D,91,89,88,42,72,72.75
S063,Student_63,Female,School_C,75,97,95,57,90,84.75
S064,Student_64,Male,School_A,67,48,56,64,82,62.5
S065,Student_65,Female,School_A,97,65,98,81,76,80.0
S066,Student_66,Female,School_B,71,92,88,70,51,75.25
S067,Student_67,Male,School_D,83,41,41,93,42,54.25
S068,Student_68,Female,School_B,87,59,41,97,40,59.25
S069,Student_69,Male,School_C,67,67,67,42,72,62.0
S070,Student_70,Male,School_A,87,86,93,79,79,84.25
S071,Student_71,Male,School_A,95,99,62,85,49,73.75
S072,Student_72,Male,School_A,85,46,76,63,82,66.75
S073,Student_73,Male,School_C,67,83,71,89,83,81.5
S074,Student_74,Female,School_C,87,47,72,71,68,64.5
S075,Student_75,Male,School_B,87,86,40,86,52,66.0
S076,Student_76,Male,School_B,96,74,58,61,51,61.0
S077,Student_77,Female,School_B,95,53,41,62,70,56.5
S078,Student_78,Male,School_D,86,56,92,41,85,68.5
S079,Student_79,Female,School_A,76,75,83,66,41,66.25
S080,Student_80,Female,School_A,68,89,65,81,90,81.25
S081,Student_81,Female,School_B,92,79,71,41,89,70.0
S082,Student_82,Male,School_A,79,43,45,65,74,56.75
S083,Student_83,Male,School_B,72,41,71,56,62,57.5
S084,Student_84,Male,School_D,87,45,94,79,56,68.5
S085,Student_85,Female,School_D,88,93,43,72,65,68.25
S086,Student_86,Male,School_C,72,81,94,48,47,67.5
S087,Student_87,Male,School_D,94,43,50,82,68,60.75
S088,Student_88,Male,School_B,65,93,95,93,65,86.5
S089,Student_89,Female,School_D,77,68,98,87,49,75.5
S090,Student_90,Female,School_C,64,57,56,78,65,64.0
S091,Student_91,Male,School_A,84,65,77,68,73,70.75
S092,Student_92,Male,School_B,61,83,63,81,90,79.25
S093,Student_93,Male,School_A,69,73,44,94,80,72.75
S094,Student_94,Male,School_C,89,49,91,65,46,62.75
S095,Student_95,Female,School_C,64,75,73,74,43,66.25
S096,Student_96,Female,School_C,92,53,45,89,97,71.0
S097,Student_97,Female,School_A,60,70,61,64,92,71.75
S098,Student_98,Female,School_A,77,87,50,63,89,72.25
S099,Student_99,Male,School_A,91,54,87,52,84,69.25
S100,Student_100,Male,School_A,70,47,55,99,50,62.75
S101,Student_101,Male,School_C,80,53,72,97,68,72.5
S102,Student_102,Female,School_C,85,62,48,46,95,62.75
S103,Student_103,Male,School_B,84,99,99,96,75,92.25
S104,Student_104,Female,School_B,81,96,98,75,64,83.25
S105,Student_105,Female,School_A,86,79,45,84,60,67.0
S106,Student_106,Male,School_D,72,60,55,59,96,67.5
S107,Student_107,Male,School_D,92,55,68,40,75,59.5
S108,Student_108,Male,School_C,93,84,42,47,49,55.5
S109,Student_109,Female,School_C,94,57,59,85,76,69.25
S110,Student_110,Male,School_C,60,86,99,55,48,72.0
S111,Student_111,Female,School_B,80,92,98,53,63,76.5
S112,Student_112,Male,School_B,65,63,75,51,74,65.75
S113,Student_113,Female,School_C,87,65,58,90,88,75.25
S114,Student_114,Female,School_C,76,64,65,62,74,66.25
S115,Student_115,Male,School_C,64,99,42,54,87,70.5
S116,Student_116,Female,School_D,90,99,58,67,75,74.75
S117,Student_117,Female,School_B,64,99,59,73,57,72.0
S118,Student_118,Male,School_D,97,84,71,41,88,71.0
S119,Student_119,Female,School_D,62,80,46,71,78,68.75
S120,Student_120,Male,School_C,82,68,91,62,71,73.0
S121,Student_121,Female,School_C,96,54,80,61,63,64.5
S122,Student_122,Male,School_A,96,84,72,90,62,77.0
S123,Student_123,Male,School_A,69,40,79,64,71,63.5
S124,Student_124,Female,School_D,69,64,78,97,76,78.75
S125,Student_125,Female,School_B,78,46,57,61,51,53.75
S126,Student_126,Female,School_C,76,48,79,97,88,78.0
S127,Student_127,Female,School_C,80,63,40,97,94,73.5
S128,Student_128,Female,School_D,73,40,50,61,52,50.75
S129,Student_129,Male,School_A,68,83,67,88,62,75.0
S130,Student_130,Female,School_B,60,47,96,91,64,74.5
S131,Student_131,Male,School_A,72,63,64,81,74,70.5
S132,Student_132,Male,School_A,63,50,89,45,80,66.0
S133,Student_133,Female,School_A,60,90,62,54,69,68.75
S134,Student_134,Male,School_A,99,56,70,93,56,68.75
S135,Student_135,Male,School_C,91,47,69,82,88,71.5
S136,Student_136,Male,School_C,93,74,81,99,59,78.25
S137,Student_137,Male,School_A,87,74,74,76,87,77.75
S138,Student_138,Female,School_B,90,72,46,72,64,63.5
S139,Student_139,Male,School_D,67,98,99,47,61,76.25
S140,Student_140,Female,School_B,98,44,55,92,52,60.75
S141,Student_141,Female,School_B,85,81,65,99,98,85.75
S142,Student_142,Male,School_B,93,78,87,83,58,76.5
S143,Student_143,Female,School_A,62,97,96,83,88,91.0
S144,Student_144,Female,School_C,71,80,91,44,75,72.5
S145,Student_145,Female,School_B,60,67,99,78,51,73.75
S146,Student_146,Male,School_A,64,46,88,43,80,64.25
S147,Student_147,Female,School_B,89,48,41,45,58,48.0
S148,Student_148,Female,School_B,89,47,40,84,51,55.5
S149,Student_149,Female,School_A,76,51,87,71,48,64.25
S150,Student_150,Male,School_C,82,73,51,91,46,65.25
S151,Student_151,Female,School_C,74,72,44,69,67,63.0
S152,Student_152,Male,School_D,96,87,76,86,53,75.5
S153,Student_153,Male,School_A,80,94,71,74,70,77.25
S154,Student_154,Male,School_D,73,62,98,94,91,86.25
S155,Student_155,Male,School_D,61,63,94,79,58,73.5
S156,Student_156,Male,School_D,70,76,48,91,97,78.0
S157,Student_157,Male,School_C,98,74,80,55,86,73.75
S158,Student_158,Female,School_A,97,83,74,52,55,66.0
S159,Student_159,Male,School_D,93,79,58,89,92,79.5
S160,Student_160,Female,School_A,97,61,87,99,44,72.75
S161,Student_161,Female,School_A,93,66,55,81,74,69.0
S162,Student_162,Male,School_C,77,74,42,69,51,59.0
S163,Student_163,Female,School_D,89,40,59,58,64,55.25
S164,Student_164,Female,School_D,74,74,63,56,91,71.0
S165,Student_165,Female,School_A,86,76,93,95,98,90.5
S166,Student_166,Female,School_B,93,86,95,58,60,74.75
S167,Student_167,Male,School_C,97,53,72,67,75,66.75
S168,Student_168,Female,School_C,92,42,63,97,92,73.5
S169,Student_169,Male,School_C,83,40,91,94,62,71.75
S170,Student_170,Female,School_C,74,44,50,65,55,53.5
S171,Student_171,Female,School_D,89,65,88,76,96,81.25
S172,Student_172,Male,School_D,76,94,47,65,78,71.0
S173,Student_173,Female,School_B,64,53,75,92,84,76.0
S174,Student_174,Female,School_C,88,78,77,62,92,77.25
S175,Student_175,Female,School_C,63,66,79,48,81,68.5
S176,Student_176,Male,School_A,69,48,59,51,97,63.75
S177,Student_177,Female,School_D,76,54,74,92,78,74.5
S178,Student_178,Male,School_C,69,54,87,40,53,58.5
S179,Student_179,Female,School_B,76,65,64,97,70,74.0
S180,Student_180,Male,School_B,79,81,74,97,97,87.25
S181,Student_181,Male,School_D,83,99,64,40,44,61.75
S182,Student_182,Female,School_B,64,52,68,86,74,70.0
S183,Student_183,Female,School_B,93,90,57,73,62,70.5
S184,Student_184,Male,School_D,65,71,85,71,68,73.75
S185,Student_185,Male,School_C,61,78,57,93,82,77.5
S186,Student_186,Female,School_C,72,88,41,87,50,66.5
S187,Student_187,Male,School_B,70,91,93,64,57,76.25
S188,Student_188,Female,School_B,82,71,74,79,86,77.5
S189,Student_189,Female,School_C,75,43,55,84,51,58.25
S190,Student_190,Female,School_D,90,69,80,92,48,72.25
S191,Student_191,Female,School_B,70,76,75,40,49,60.0
S192,Student_192,Male,School_A,75,62,72,55,97,71.5
S193,Student_193,Female,School_D,67,78,43,78,83,70.5
S194,Student_194,Male,School_B,63,84,72,44,56,64.0
S195,Student_195,Female,School_B,99,54,53,61,77,61.25
S196,Student_196,Male,School_A,63,82,60,68,46,64.0
S197,Student_197,Female,School_A,84,68,87,94,85,83.5
S198,Student_198,Male,School_C,62,75,59,42,52,57.0
S199,Student_199,Male,School_D,91,52,95,51,79,69.25
S200,Student_200,Female,School_D,62,71,47,65,81,66.0
